"","gene_id","logFC","logCPM","LR","PValue","FDR","gene_name","repression","8mer","7mer","6mer","non-canonical","ORF.canonical","ORF.nonCanonical","symbol"
"14126","ENSG00000275349",-1.67568504667236,5.07318121306537,194.095183317254,4.05966056409662e-44,6.06635078092957e-40,"SMN1",NA,NA,NA,NA,NA,NA,NA,NA
"2971","ENSG00000110321",-0.791783505731636,9.57104897399927,176.156583185947,3.34690407966871e-40,2.50063938312448e-36,"EIF4G2",-1.13359388415673,1,0,0,0,0,0,"EIF4G2"
"710","ENSG00000064393",-0.686286631014706,6.56229619027042,140.298769819645,2.29023564467962e-32,1.14076637461492e-28,"HIPK2",-1.69185065232666,2,0,3,0,1,0,"HIPK2"
"5707","ENSG00000137142",-0.787700411392542,8.57938266399159,117.463128933342,2.27286272488714e-27,8.49084692449715e-24,"IGFBPL1",-0.576732031640761,0,1,0,0,0,0,"IGFBPL1"
"10048","ENSG00000174705",-0.447146164736208,6.94003393939425,95.5486536936158,1.44300947866686e-22,4.31257812794377e-19,"SH3PXD2B",-1.22641216716708,1,1,1,0,0,0,"SH3PXD2B"
"14007","ENSG00000273772",0.466476314012988,5.82244327806852,77.8546123569153,1.10910854916663e-18,2.36762986431385e-15,"SMN2",NA,NA,NA,NA,NA,NA,NA,NA
"2857","ENSG00000108960",-0.469060206551382,6.34559125221513,75.2321029413292,4.18506750202912e-18,7.81718296035264e-15,"MMD",-0.52136394354351,0,1,0,0,0,0,"MMD"
"9504","ENSG00000170540",-0.457510967106037,7.49925636784526,70.9063484105348,3.74590661265252e-17,6.21945361254073e-14,"ARL6IP1",-0.923254925878823,0,1,0,0,0,0,"ARL6IP1"
"12548","ENSG00000213463",-0.42668384032678,5.70887350336057,54.9321263913095,1.2476485437471e-13,1.86436121892129e-10,"SYNJ2BP",-1.68789222080399,2,1,1,0,0,0,"SYNJ2BP"
"13291","ENSG00000243232",0.409351100027244,5.95825774313568,50.5979838346124,1.13361436475112e-12,1.53996358658872e-09,"PCDHAC2",-0.233285112331872,0,0,1,0,0,0,"PCDHAC2"
"10674","ENSG00000180957",-0.378958146488314,6.49040913224921,49.0173683289206,2.53706023766523e-12,3.15927426095262e-09,"PITPNB",NA,NA,NA,NA,NA,NA,NA,NA
"7791","ENSG00000159055",-0.601096382597465,4.16854019144098,48.5404139326004,3.2355200498075e-12,3.71910585417488e-09,"MIS18A",-0.526027783781362,0,0,2,0,0,0,"MIS18A"
"6055","ENSG00000139970",-0.340764800702274,7.30836477308378,48.2569327503769,3.73874036020172e-12,3.9905712287496e-09,"RTN1",-0.835925429698763,0,1,0,0,0,0,"RTN1"
"479","ENSG00000044115",-0.329582326414193,7.64744573025465,47.2397721374785,6.28128885855841e-12,6.25741996089588e-09,"CTNNA1",NA,NA,NA,NA,NA,NA,NA,NA
"7761","ENSG00000158669",-0.34576424638588,6.62024308929606,46.7993023795867,7.86413987034538e-12,7.34461513016069e-09,"GPAT4",NA,NA,NA,NA,NA,NA,NA,NA
"8572","ENSG00000164713",-0.395248564874439,6.30034670002786,46.1083068804423,1.11893022332518e-11,9.8353966630283e-09,"BRI3",-1.08733936024714,1,0,0,0,0,0,"BRI3"
"4253","ENSG00000123989",0.358290109189567,7.01628740514993,45.2602062081936,1.7251913293468e-11,1.43219633524607e-08,"CHPF",NA,NA,NA,NA,NA,NA,NA,NA
"654","ENSG00000060656",0.390016275737967,7.12769816777475,44.1677053356195,3.01413164139309e-11,2.25200845586684e-08,"PTPRU",NA,NA,NA,NA,NA,NA,NA,NA
"9016","ENSG00000167378",-0.337046574783708,6.4723681253177,44.1909440660453,2.97856056405534e-11,2.25200845586684e-08,"IRGQ",-1.23798525885779,1,0,1,0,0,0,"IRGQ"
"8402","ENSG00000163939",-0.315458472431797,6.95231951370515,42.0820284557401,8.75238632221185e-11,6.22794803870532e-08,"PBRM1",-0.185055664184244,0,0,0,0,3,0,"PBRM1"
